Account_id|Address_Id|Primary|
1-1P0QK|1-1P0QN|Y|
1-1P114|1-1P117|Y|
1-1PPYW|1-1PPYZ|Y|
1-1PQ6Y|1-1PQ71|Y|
1-1PQCS|1-1PQCV|Y|
1-1PPWY|1-1PPX1|Y|
1-1PMMM|1-1PMMP|Y|
1-1PMGS|1-1PMGV|Y|
1-1PMIQ|1-1PMIT|Y|
1-1PMKO|1-1PMKR|Y|
1-1P36W|1-1P36Z|Y|
1-1P3TE|1-1P3TH|Y|
1-1P31W|1-1P31Z|Y|
1-1P34E|1-1P34H|Y|
1-1P13M|1-1P13P|Y|
1-1P0T2|1-1P0T5|Y|
1-1P0VK|1-1P0VN|Y|
1-1P0Y2|1-1P0Y5|Y|
1-1P0Y2|1-1P0Y7|N|
1-1P0Y2|1-1P0Y9|N|
1-1PQ50|1-1PQ53|Y|
1-1PQ0U|1-1PQ0X|Y|
1-1PQ2S|1-1PQ2V|Y|
1-1PQ2S|1-1PQ2X|N|
1-1PQ2S|1-1PQ2Z|N|
1-1PQ8W|1-1PQ8Z|Y|
1-1PMUO|1-1PMUR|Y|
1-1PMOK|1-1PMON|Y|
1-1PMQI|1-1PMQL|Y|
1-1PMSQ|1-1PMST|Y|
1-1P1DM|1-1P1DP|Y|
1-1PMSQ|1-6O2SW|N|
1-1P39E|1-1P39H|Y|
1-1P3BW|1-1P3BZ|Y|
1-1P3EE|1-1P3EH|Y|
1-1P3YE|1-1P3YH|Y|
1-1P164|1-1P167|Y|
1-1P1B4|1-1P1B7|Y|
1-1P1G4|1-1P1G7|Y|
1-1PNLM|1-1PNLP|Y|
1-1PQAU|1-1PQAX|Y|
1-1PNDU|1-1PNDX|Y|
1-1PNFS|1-1PNFV|Y|
1-1P43E|1-1P43H|Y|
1-1PCSG|1-1PCSJ|Y|
1-1PCUY|1-1PCV1|Y|
1-1PCXG|1-1PCXJ|Y|
1-1P40W|1-1P40Z|Y|
1-1P4AW|1-1P4AZ|Y|
1-1P45W|1-1P45Z|Y|
1-1P1QE|1-1P1QH|Y|
1-1P1IM|1-1P1IP|Y|
1-1P1L4|1-1P1L7|Y|
1-1P1NM|1-1P1NP|Y|
1-1PN62|1-1PN65|Y|
1-1PQEQ|1-1PQET|Y|
1-1PQEQ|1-1PQEV|N|
1-1PQH8|1-1PQHB|Y|
1-1PQH8|1-1PQHD|N|
1-1PQJG|1-1PQJJ|Y|
1-1PCZY|1-1PD01|Y|
1-1PD4Y|1-1PD51|Y|
1-1PD7G|1-1PD7J|Y|
1-1PDNU|1-1PDNX|Y|
1-1P4PW|1-1P4PZ|Y|
1-1P48E|1-1P48H|Y|
1-1P4DE|1-1P4DH|Y|
1-1P4FW|1-1P4FZ|Y|
1-1PJS4|1-1PJS7|Y|
1-1P1SW|1-1P1SZ|Y|
1-1PK06|1-1PK09|Y|
1-1PJQ6|1-1PJQ9|Y|
1-1PN80|1-1PN83|Y|
1-1PN9Y|1-1PNA1|Y|
1-1PNBW|1-1PNBZ|Y|
1-1PNHQ|1-1PNHT|Y|
1-1PD2G|1-1PD2J|Y|
1-1PD9Y|1-1PDA1|Y|
1-1PDCG|1-1PDCJ|Y|
1-1P4Z2|1-1P4Z5|Y|
1-1P4SE|1-1P4SH|Y|
1-1P4UW|1-1P4UZ|Y|
1-1P4WK|1-1P4WN|Y|
1-1PNNK|1-1PNNN|Y|
1-1PJU2|1-1PJU5|Y|
1-1PJW0|1-1PJW3|Y|
1-1PJXY|1-1PJY1|Y|
1-1PJXY|1-1PJY3|N|
1-1PNJO|1-1PNJR|Y|
1-1PNTE|1-1PNTH|Y|
1-1PNTE|1-1PNTJ|N|
1-1PNPI|1-1PNPL|Y|
1-1PC86|1-1PC89|Y|
1-1PA06|1-1PA09|Y|
1-1PAK6|1-1PAK9|Y|
1-1PC5O|1-1PC5R|Y|
1-1P592|1-1P595|Y|
1-1P51K|1-1P51N|Y|
1-1P542|1-1P545|Y|
1-1P56K|1-1P56N|Y|
1-1PK5Q|1-1PK5T|Y|
1-1PKJC|1-1PKJF|Y|
1-1PK1U|1-1PK1X|Y|
1-1PK3S|1-1PK3V|Y|
1-1PO1G|1-1PO1J|N|
1-1PO1G|1-1PO1L|Y|
1-1PNRG|1-1PNRJ|Y|
1-1PNVM|1-1PNVP|Y|
1-1PNZI|1-1PNZL|Y|
1-1PCIG|1-1PCIJ|Y|
1-1PCAO|1-1PCAR|Y|
1-1PCAO|1-1PCAT|N|
1-1PCDG|1-1PCDJ|Y|
1-1PCFY|1-1PCG1|Y|
1-1P5J2|1-1P5J5|Y|
1-1P5BK|1-1P5BN|Y|
1-1P5E2|1-1P5E5|Y|
1-1P5GK|1-1P5GN|Y|
1-1PKDI|1-1PKDL|Y|
1-1PK7O|1-1PK7R|Y|
1-1PK9M|1-1PK9P|Y|
1-1PKBK|1-1PKBN|Y|
1-1PO3O|1-1PO3R|Y|
1-1PO5M|1-1PO5P|Y|
1-1POBG|1-1POBJ|Y|
1-1POBG|1-1POBL|N|
1-1PODO|1-1PODR|Y|
1-NNSYG|1-NNSYJ|Y|
1-1PCKY|1-1PCL1|Y|
1-1PCNG|1-1PCNJ|Y|
1-1PCPY|1-1PCQ1|Y|
1-1P5T2|1-1P5T5|Y|
1-1P5LK|1-1P5LN|Y|
1-1P5O2|1-1P5O5|Y|
1-1P5QK|1-1P5QN|Y|
1-1PKRE|1-1PKRH|Y|
1-1PKFG|1-1PKFJ|Y|
1-1PKHE|1-1PKHH|Y|
1-1PKP6|1-1PKP9|N|
1-1PKP6|1-1PKPB|Y|
1-1PA7O|1-1PA7R|Y|
1-1POIY|1-1POJ1|Y|
1-1POKW|1-1POKZ|Y|
1-1POMU|1-1POMX|Y|
1-1PA2O|1-1PA2R|Y|
1-1PA56|1-1PA59|Y|
1-1PAA6|1-1PAA9|Y|
1-1P632|1-1P635|Y|
1-1P5VK|1-1P5VN|Y|
1-1P5Y2|1-1P5Y5|Y|
1-1P60K|1-1P60N|Y|
1-1POSO|1-1POSR|Y|
1-1PKTC|1-1PKTF|Y|
1-1PKTC|1-1PKTH|N|
1-1PPSS|1-1PPSV|N|
1-1PPSS|1-1PPSX|Y|
1-1PKLA|1-1PKLD|Y|
1-1POOS|1-1POOV|Y|
1-1POQQ|1-1POQT|Y|
1-1PLBO|1-1PLBR|Y|
1-1PACO|1-1PACR|Y|
1-1PAF6|1-1PAF9|Y|
1-1PAHO|1-1PAHR|Y|
1-1PAMO|1-1PAMR|Y|
1-1P65K|1-1P65N|Y|
1-1P678|1-1P67B|Y|
1-1P6EQ|1-1P6ET|Y|
1-1PKN8|1-1PKNB|Y|
1-1PKW4|1-1PKW7|Y|
1-1PKY2|1-1PKY5|Y|
1-1PL00|1-1PL03|Y|
1-1PLNM|1-1PLNP|Y|
1-1PLDM|1-1PLDP|Y|
1-1PLPK|1-1PLPN|Y|
1-1PLSW|1-1PLSZ|Y|
1-28W8W|1-28W8Z|Y|
1-24SRQ|1-24SRT|Y|
1-24SU8|1-24SUB|Y|
1-24SF8|1-24SFB|Y|
1-28W3W|1-28W3Z|Y|
1-28W6E|1-28W6H|Y|
1-24UIS|1-24UIV|Y|
1-1ZXIU|1-1ZXIX|Y|
1-1ZYK2|1-1ZYK5|Y|
1-1ZYP2|1-1ZYP5|Y|
1-1ZXGC|1-1ZXGF|Y|
1-2IGBU|1-2IGBX|Y|
1-2IGEC|1-2IGEF|Y|
1-2IGHY|1-2IGI1|Y|
1-2IG60|1-2IG63|Y|
1-29G1O|1-29G1R|Y|
1-29DIK|1-29DIN|Y|
1-25M58|1-25M5B|Y|
1-1ZYRK|1-1ZYRN|Y|
1-1ZYU2|1-1ZYU5|Y|
1-2IGZG|1-2IGZJ|Y|
1-275GC|1-275GF|Y|
1-1X4ZE|1-1X4ZH|Y|
1-2CIWI|1-2CIWL|Y|
1-1YGJW|1-1YGJZ|Y|
1-1YGME|1-1YGMH|Y|
1-1YGOW|1-1YGOZ|Y|
1-1YGRE|1-1YGRH|Y|
1-2IGTM|1-2IGTP|Y|
1-2IGW4|1-2IGW7|N|
1-2IGW4|1-2IGW9|Y|
1-1Y2ZK|1-1Y2ZN|Y|
1-25N4I|1-25N4L|Y|
1-25AXW|1-25AXZ|Y|
1-25AXW|1-25AY1|N|
1-25MZI|1-25MZL|Y|
1-25N20|1-25N23|Y|
1-1YH3C|1-1YH3F|Y|
1-1YH3C|1-1YH3H|N|
1-1YGTW|1-1YGTZ|Y|
1-1YGWE|1-1YGWH|Y|
1-1YH1E|1-1YH1H|Y|
1-2CHI8|1-2CHIB|Y|
1-2CHKQ|1-2CHKT|Y|
1-2CHN8|1-2CHNB|Y|
1-2CHPQ|1-2CHPT|Y|
1-1Y34K|1-1Y34N|Y|
1-1Y322|1-1Y325|Y|
1-1Y372|1-1Y375|Y|
1-1Y39K|1-1Y39N|Y|
1-29G46|1-29G49|Y|
